level,id,totalCount,verifiedCount,medoidId,proteinG_numericCount,proteinG_nullCount,proteinG_mean,proteinG_median,proteinG_p25,proteinG_p75,proteinG_min,proteinG_max,proteinG_stddev,proteinG_mad,carbsG_numericCount,carbsG_nullCount,carbsG_mean,carbsG_median,carbsG_p25,carbsG_p75,carbsG_min,carbsG_max,carbsG_stddev,carbsG_mad,fiberG_numericCount,fiberG_nullCount,fiberG_mean,fiberG_median,fiberG_p25,fiberG_p75,fiberG_min,fiberG_max,fiberG_stddev,fiberG_mad,fatG_numericCount,fatG_nullCount,fatG_mean,fatG_median,fatG_p25,fatG_p75,fatG_min,fatG_max,fatG_stddev,fatG_mad,declaredKcal_numericCount,declaredKcal_nullCount,declaredKcal_mean,declaredKcal_median,declaredKcal_p25,declaredKcal_p75,declaredKcal_min,declaredKcal_max,declaredKcal_stddev,declaredKcal_mad
exchangeProfileId,dairy-alternative-almond-unsweetened,1,1,produits-laitiers-cup-plain-almond-barley-rice-beverage,1,0,1,1,1,1,1,1,,0,1,0,3.4,3.4,3.4,3.4,3.4,3.4,,0,1,0,1,1,1,1,1,1,,0,1,0,2.2,2.2,2.2,2.2,2.2,2.2,,0,1,0,37,37,37,37,37,37,,0
exchangeProfileId,dairy-alternative-almond-vanilla,1,1,produits-laitiers-cup-vanilla-almond-barley-rice-beverage,1,0,0.9,0.9,0.9,0.9,0.9,0.9,,0,1,0,5.4,5.4,5.4,5.4,5.4,5.4,,0,1,0,1,1,1,1,1,1,,0,1,0,2.1,2.1,2.1,2.1,2.1,2.1,,0,1,0,44,44,44,44,44,44,,0
exchangeProfileId,dairy-alternative-oat-quinoa,1,1,produits-laitiers-oat-quinoa-beverage-unsweetened,1,0,1.7,1.7,1.7,1.7,1.7,1.7,,0,1,0,12.4,12.4,12.4,12.4,12.4,12.4,,0,1,0,0,0,0,0,0,0,,0,1,0,2.3,2.3,2.3,2.3,2.3,2.3,,0,1,0,78,78,78,78,78,78,,0
exchangeProfileId,dairy-alternative-rice-unsweetened,1,1,produits-laitiers-rice-beverage-unsweetened,1,0,0.4,0.4,0.4,0.4,0.4,0.4,,0,1,0,26.9,26.9,26.9,26.9,26.9,26.9,,0,1,0,0,0,0,0,0,0,,0,1,0,1.8,1.8,1.8,1.8,1.8,1.8,,0,1,0,125,125,125,125,125,125,,0
exchangeProfileId,dairy-alternative-soy-unsweetened,1,1,produits-laitiers-cup-soy-beverage,1,0,6.8,6.8,6.8,6.8,6.8,6.8,,0,1,0,5.6,5.6,5.6,5.6,5.6,5.6,,0,1,0,1.5,1.5,1.5,1.5,1.5,1.5,,0,1,0,3.5,3.5,3.5,3.5,3.5,3.5,,0,1,0,80,80,80,80,80,80,,0
exchangeProfileId,dairy-alternative-soy-vanilla,1,1,produits-laitiers-soy-beverage-vanilla,1,0,6.3,6.3,6.3,6.3,6.3,6.3,,0,1,0,16.7,16.7,16.7,16.7,16.7,16.7,,0,1,0,1,1,1,1,1,1,,0,1,0,3.4,3.4,3.4,3.4,3.4,3.4,,0,1,0,122,122,122,122,122,122,,0
exchangeProfileId,dairy-cheese-6-percent,1,1,produits-laitiers-le-six-pourcent-cheese,1,0,6.9,6.9,6.9,6.9,6.9,6.9,,0,1,0,1.2,1.2,1.2,1.2,1.2,1.2,,0,1,0,0,0,0,0,0,0,,0,1,0,1.8,1.8,1.8,1.8,1.8,1.8,,0,1,0,60,60,60,60,60,60,,0
exchangeProfileId,dairy-cheese-allegro-9,1,1,produits-laitiers-allegro-9-cheese,1,0,10,10,10,10,10,10,,0,1,0,1,1,1,1,1,1,,0,1,0,0,0,0,0,0,0,,0,1,0,2.5,2.5,2.5,2.5,2.5,2.5,,0,1,0,70,70,70,70,70,70,,0
exchangeProfileId,dairy-cheese-swiss-light,1,1,produits-laitiers-light-swiss-cheese-cogruet,1,0,9.6,9.6,9.6,9.6,9.6,9.6,,0,1,0,2.2,2.2,2.2,2.2,2.2,2.2,,0,1,0,0,0,0,0,0,0,,0,1,0,5,5,5,5,5,5,,0,1,0,93,93,93,93,93,93,,0
exchangeProfileId,dairy-cottage-1,1,1,produits-laitiers-cottage-cheese,1,0,15.5,15.5,15.5,15.5,15.5,15.5,,0,1,0,3.4,3.4,3.4,3.4,3.4,3.4,,0,1,0,0,0,0,0,0,0,,0,1,0,1.3,1.3,1.3,1.3,1.3,1.3,,0,1,0,90,90,90,90,90,90,,0
exchangeProfileId,dairy-cottage-2,1,1,produits-laitiers-cottage-cheese-2,1,0,13.1,13.1,13.1,13.1,13.1,13.1,,0,1,0,5.9,5.9,5.9,5.9,5.9,5.9,,0,1,0,0,0,0,0,0,0,,0,1,0,2.8,2.8,2.8,2.8,2.8,2.8,,0,1,0,101,101,101,101,101,101,,0
exchangeProfileId,dairy-filtered-milk-fairlife-2,1,1,produits-laitiers-high-protein-filtered-milk,1,0,8.1,8.1,8.1,8.1,8.1,8.1,,0,1,0,3.8,3.8,3.8,3.8,3.8,3.8,,0,1,0,0,0,0,0,0,0,,0,1,0,2.8,2.8,2.8,2.8,2.8,2.8,,0,1,0,75,75,75,75,75,75,,0
exchangeProfileId,dairy-goat-milk-whole,1,1,produits-laitiers-goat-milk-whole,1,0,8.3,8.3,8.3,8.3,8.3,8.3,,0,1,0,10.3,10.3,10.3,10.3,10.3,10.3,,0,1,0,0,0,0,0,0,0,,0,1,0,8,8,8,8,8,8,,0,1,0,144,144,144,144,144,144,,0
exchangeProfileId,dairy-greek-yogurt-0,1,1,produits-laitiers-plain-greek-yogurt,1,0,13.2,13.2,13.2,13.2,13.2,13.2,,0,1,0,4,4,4,4,4,4,,0,1,0,0,0,0,0,0,0,,0,1,0,0.1,0.1,0.1,0.1,0.1,0.1,,0,1,0,73,73,73,73,73,73,,0
exchangeProfileId,dairy-greek-yogurt-2,1,1,produits-laitiers-greek-yogurt,1,0,12.1,12.1,12.1,12.1,12.1,12.1,,0,1,0,5,5,5,5,5,5,,0,1,0,0,0,0,0,0,0,,0,1,0,2.5,2.5,2.5,2.5,2.5,2.5,,0,1,0,86,86,86,86,86,86,,0
exchangeProfileId,dairy-greek-yogurt-fruit-0,1,1,produits-laitiers-greek-yogurt-fat-free-fruit,1,0,10.9,10.9,10.9,10.9,10.9,10.9,,0,1,0,14.7,14.7,14.7,14.7,14.7,14.7,,0,1,0,0,0,0,0,0,0,,0,1,0,0.1,0.1,0.1,0.1,0.1,0.1,,0,1,0,104,104,104,104,104,104,,0
exchangeProfileId,dairy-high-protein-chocolate-milk,1,1,produits-laitiers-protein-chocolate-milk,1,0,10.8,10.8,10.8,10.8,10.8,10.8,,0,1,0,7.8,7.8,7.8,7.8,7.8,7.8,,0,1,0,0,0,0,0,0,0,,0,1,0,1.5,1.5,1.5,1.5,1.5,1.5,,0,1,0,90,90,90,90,90,90,,0
exchangeProfileId,dairy-high-protein-milk-natrel-2,1,1,produits-laitiers-natrel-plus-2,1,0,9,9,9,9,9,9,,0,1,0,4.5,4.5,4.5,4.5,4.5,4.5,,0,1,0,0,0,0,0,0,0,,0,1,0,2.5,2.5,2.5,2.5,2.5,2.5,,0,1,0,80,80,80,80,80,80,,0
exchangeProfileId,dairy-kefir-fruit-low-fat,1,1,produits-laitiers-kefir-fruit-low-fat,1,0,3.2,3.2,3.2,3.2,3.2,3.2,,0,1,0,11.2,11.2,11.2,11.2,11.2,11.2,,0,1,0,0,0,0,0,0,0,,0,1,0,1.6,1.6,1.6,1.6,1.6,1.6,,0,1,0,71,71,71,71,71,71,,0
exchangeProfileId,dairy-kefir-plain-low-fat,1,1,produits-laitiers-plain-or-fruit-kefir,1,0,3.6,3.6,3.6,3.6,3.6,3.6,,0,1,0,3.5,3.5,3.5,3.5,3.5,3.5,,0,1,0,0,0,0,0,0,0,,0,1,0,1.7,1.7,1.7,1.7,1.7,1.7,,0,1,0,44,44,44,44,44,44,,0
exchangeProfileId,dairy-milk-2,1,1,produits-laitiers-cup-1-2-milk,1,0,8.5,8.5,8.5,8.5,8.5,8.5,,0,1,0,11.3,11.3,11.3,11.3,11.3,11.3,,0,1,0,0,0,0,0,0,0,,0,1,0,4.7,4.7,4.7,4.7,4.7,4.7,,0,1,0,121,121,121,121,121,121,,0
exchangeProfileId,dairy-milk-skim,1,1,produits-laitiers-skim-milk,1,0,9.3,9.3,9.3,9.3,9.3,9.3,,0,1,0,11.5,11.5,11.5,11.5,11.5,11.5,,0,1,0,0,0,0,0,0,0,,0,1,0,0.2,0.2,0.2,0.2,0.2,0.2,,0,1,0,85,85,85,85,85,85,,0
exchangeProfileId,dairy-milk-whole,1,1,produits-laitiers-whole-milk,1,0,8.5,8.5,8.5,8.5,8.5,8.5,,0,1,0,11.5,11.5,11.5,11.5,11.5,11.5,,0,1,0,0,0,0,0,0,0,,0,1,0,8,8,8,8,8,8,,0,1,0,152,152,152,152,152,152,,0
exchangeProfileId,dairy-protein-shake-core-power-26,1,1,produits-laitiers-bottle-core-power-fairlife,1,0,13,13,13,13,13,13,,0,1,0,4,4,4,4,4,4,,0,1,0,1,1,1,1,1,1,,0,1,0,2.3,2.3,2.3,2.3,2.3,2.3,,0,1,0,85,85,85,85,85,85,,0
exchangeProfileId,dairy-quark-fat-free,1,1,produits-laitiers-quark-fat-free-plain,1,0,11.2,11.2,11.2,11.2,11.2,11.2,,0,1,0,3.5,3.5,3.5,3.5,3.5,3.5,,0,1,0,0,0,0,0,0,0,,0,1,0,0.2,0.2,0.2,0.2,0.2,0.2,,0,1,0,64,64,64,64,64,64,,0
exchangeProfileId,dairy-ricotta-light,1,1,produits-laitiers-partly-skimmed-ricotta,1,0,10.9,10.9,10.9,10.9,10.9,10.9,,0,1,0,6.8,6.8,6.8,6.8,6.8,6.8,,0,1,0,0,0,0,0,0,0,,0,1,0,6.2,6.2,6.2,6.2,6.2,6.2,,0,1,0,127,127,127,127,127,127,,0
exchangeProfileId,dairy-skyr-0,1,1,produits-laitiers-plain-skyr,1,0,12,12,12,12,12,12,,0,0,1,,,,,,,,,0,1,,,,,,,,,0,1,,,,,,,,,1,0,60,60,60,60,60,60,,0
exchangeProfileId,dairy-yogurt-fat-free-plain,1,1,produits-laitiers-yogurt-fat-free-plain,1,0,5.8,5.8,5.8,5.8,5.8,5.8,,0,1,0,5.8,5.8,5.8,5.8,5.8,5.8,,0,1,0,0,0,0,0,0,0,,0,1,0,0.1,0.1,0.1,0.1,0.1,0.1,,0,1,0,48,48,48,48,48,48,,0
exchangeProfileId,dairy-yogurt-low-fat-plain,1,1,produits-laitiers-2-yogurt-no-added-sugar,1,0,5.3,5.3,5.3,5.3,5.3,5.3,,0,1,0,5.6,5.6,5.6,5.6,5.6,5.6,,0,1,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,1,1,,0,1,0,53,53,53,53,53,53,,0
exchangeProfileId,fat-avocado,1,1,matieres-grasses-avocado,1,0,0.7,0.7,0.7,0.7,0.7,0.7,,0,1,0,2.9,2.9,2.9,2.9,2.9,2.9,,0,1,0,2.3,2.3,2.3,2.3,2.3,2.3,,0,1,0,5,5,5,5,5,5,,0,1,0,54,54,54,54,54,54,,0
exchangeProfileId,fat-butter-spread,3,3,matieres-grasses-non-hydrogenated-margarine-or-butter,3,0,0.06666666666666667,0.1,0.05,0.1,0,0.1,0.05773502691896258,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,5.8,5.8,5.8,5.8,5.8,5.8,0,0,3,0,52,52,52,52,52,52,0,0
exchangeProfileId,fat-cheese,3,3,matieres-grasses-cheddar-mozzarella-cream-cheese,3,0,2.8000000000000003,3.5,2.25,3.7,1,3.9,1.571623364550171,0.3999999999999999,3,0,1.0333333333333332,1.2,0.8,1.35,0.4,1.5,0.5686240703077327,0.30000000000000004,3,0,0,0,0,0,0,0,0,0,3,0,4.5,4.4,4.35,4.6,4.3,4.8,0.26457513110645897,0.10000000000000053,3,0,55.666666666666664,57,52,60,47,63,8.082903768654761,6
exchangeProfileId,fat-chocolate,2,2,matieres-grasses-dark-chocolate-60-69,2,0,0.7,0.7,0.65,0.75,0.6,0.8,0.14142135623730953,0.10000000000000003,2,0,4.9,4.9,4.75,5.05,4.6,5.2,0.4242640687119289,0.30000000000000027,2,0,0.9500000000000001,0.9500000000000001,0.875,1.0250000000000001,0.8,1.1,0.21213203435596428,0.15000000000000002,2,0,4.05,4.05,3.925,4.175,3.8,4.3,0.3535533905932738,0.25,2,0,59,59,58.5,59.5,58,60,1.4142135623730951,1
exchangeProfileId,fat-coconut,1,1,noix-graines-shredded-coconut,1,0,0.3,0.3,0.3,0.3,0.3,0.3,,0,1,0,1.2,1.2,1.2,1.2,1.2,1.2,,0,1,0,0.8,0.8,0.8,0.8,0.8,0.8,,0,1,0,3.2,3.2,3.2,3.2,3.2,3.2,,0,1,0,33,33,33,33,33,33,,0
exchangeProfileId,fat-dressing,1,1,matieres-grasses-vegetable-oil-based-vinaigrette,1,0,0,0,0,0,0,0,,0,1,0,0.3,0.3,0.3,0.3,0.3,0.3,,0,1,0,0,0,0,0,0,0,,0,1,0,5.3,5.3,5.3,5.3,5.3,5.3,,0,1,0,48,48,48,48,48,48,,0
exchangeProfileId,fat-egg,2,2,matieres-grasses-whole-egg,2,0,4.300000000000001,4.300000000000001,3.5,5.1000000000000005,2.7,5.9,2.2627416997969525,1.6,2,0,0.75,0.75,0.675,0.825,0.6,0.9,0.21213203435596428,0.15000000000000002,2,0,0,0,0,0,0,0,0,0,2,0,5.3,5.3,5.15,5.449999999999999,5,5.6,0.4242640687119283,0.2999999999999998,2,0,65.5,65.5,62.75,68.25,60,71,7.7781745930520225,5.5
