calculationGroup,basis,nutrient,reference,delta,outsideToleranceCount,referenceKind
dairy,mean,proteinG,7,1.1345,29,business_rule_not_statistical_mean
dairy,mean,carbsG,10,-2.5393,29,business_rule_not_statistical_mean
dairy,mean,fiberG,,,29,business_rule_not_statistical_mean
dairy,mean,fatG,2,0.5786,29,business_rule_not_statistical_mean
dairy,mean,declaredKcal,,,29,business_rule_not_statistical_mean
dairy,median,proteinG,7,1.5,29,business_rule_not_statistical_mean
dairy,median,carbsG,10,-4.4,29,business_rule_not_statistical_mean
dairy,median,fiberG,,,29,business_rule_not_statistical_mean
dairy,median,fatG,2,0.25,29,business_rule_not_statistical_mean
dairy,median,declaredKcal,,,29,business_rule_not_statistical_mean
dairy,medoid,proteinG,7,2,29,business_rule_not_statistical_mean
dairy,medoid,carbsG,10,-5.5,29,business_rule_not_statistical_mean
dairy,medoid,fiberG,,,29,business_rule_not_statistical_mean
dairy,medoid,fatG,2,0.5,29,business_rule_not_statistical_mean
dairy,medoid,declaredKcal,,,29,business_rule_not_statistical_mean
fat,mean,proteinG,1,0.4216,9,business_rule_not_statistical_mean
fat,mean,carbsG,2,-0.3941,9,business_rule_not_statistical_mean
fat,mean,fiberG,,,9,business_rule_not_statistical_mean
fat,mean,fatG,6,-0.5216,9,business_rule_not_statistical_mean
fat,mean,declaredKcal,,,9,business_rule_not_statistical_mean
fat,median,proteinG,1,0.3,9,business_rule_not_statistical_mean
fat,median,carbsG,2,-0.5,9,business_rule_not_statistical_mean
fat,median,fiberG,,,9,business_rule_not_statistical_mean
fat,median,fatG,6,-0.7,9,business_rule_not_statistical_mean
fat,median,declaredKcal,,,9,business_rule_not_statistical_mean
fat,medoid,proteinG,1,0.2,9,business_rule_not_statistical_mean
fat,medoid,carbsG,2,-0.9,9,business_rule_not_statistical_mean
fat,medoid,fiberG,,,9,business_rule_not_statistical_mean
fat,medoid,fatG,6,-0.8,9,business_rule_not_statistical_mean
fat,medoid,declaredKcal,,,9,business_rule_not_statistical_mean
fruit,mean,proteinG,1,-0.0394,0,business_rule_not_statistical_mean
fruit,mean,carbsG,15,0,0,business_rule_not_statistical_mean
fruit,mean,fiberG,,,0,business_rule_not_statistical_mean
fruit,mean,fatG,2,-1.7091,0,business_rule_not_statistical_mean
fruit,mean,declaredKcal,,,0,business_rule_not_statistical_mean
fruit,median,proteinG,1,-0.1,0,business_rule_not_statistical_mean
fruit,median,carbsG,15,0,0,business_rule_not_statistical_mean
fruit,median,fiberG,,,0,business_rule_not_statistical_mean
fruit,median,fatG,2,-1.8,0,business_rule_not_statistical_mean
fruit,median,declaredKcal,,,0,business_rule_not_statistical_mean
fruit,medoid,proteinG,1,0,0,business_rule_not_statistical_mean
fruit,medoid,carbsG,15,0.2,0,business_rule_not_statistical_mean
fruit,medoid,fiberG,,,0,business_rule_not_statistical_mean
fruit,medoid,fatG,2,-1.8,0,business_rule_not_statistical_mean
fruit,medoid,declaredKcal,,,0,business_rule_not_statistical_mean
protein,mean,proteinG,9,0.1893,45,business_rule_not_statistical_mean
protein,mean,carbsG,0,1.168,45,business_rule_not_statistical_mean
protein,mean,fiberG,,,45,business_rule_not_statistical_mean
protein,mean,fatG,2,0.266,45,business_rule_not_statistical_mean
protein,mean,declaredKcal,,,45,business_rule_not_statistical_mean
protein,median,proteinG,9,0.2,45,business_rule_not_statistical_mean
protein,median,carbsG,0,0,45,business_rule_not_statistical_mean
protein,median,fiberG,,,45,business_rule_not_statistical_mean
protein,median,fatG,2,-0.3,45,business_rule_not_statistical_mean
protein,median,declaredKcal,,,45,business_rule_not_statistical_mean
protein,medoid,proteinG,9,0.3,45,business_rule_not_statistical_mean
protein,medoid,carbsG,0,0,45,business_rule_not_statistical_mean
protein,medoid,fiberG,,,45,business_rule_not_statistical_mean
protein,medoid,fatG,2,-0.3,45,business_rule_not_statistical_mean
protein,medoid,declaredKcal,,,45,business_rule_not_statistical_mean
starch,mean,proteinG,3,0.5543,16,business_rule_not_statistical_mean
starch,mean,carbsG,18,0.5743,16,business_rule_not_statistical_mean
starch,mean,fiberG,,,16,business_rule_not_statistical_mean
starch,mean,fatG,1,0.0914,16,business_rule_not_statistical_mean
starch,mean,declaredKcal,,,16,business_rule_not_statistical_mean
starch,median,proteinG,3,-0.2,16,business_rule_not_statistical_mean
starch,median,carbsG,18,-0.3,16,business_rule_not_statistical_mean
starch,median,fiberG,,,16,business_rule_not_statistical_mean
starch,median,fatG,1,-0.4,16,business_rule_not_statistical_mean
starch,median,declaredKcal,,,16,business_rule_not_statistical_mean
starch,medoid,proteinG,3,-0.4,16,business_rule_not_statistical_mean
starch,medoid,carbsG,18,-0.2,16,business_rule_not_statistical_mean
starch,medoid,fiberG,,,16,business_rule_not_statistical_mean
starch,medoid,fatG,1,-0.2,16,business_rule_not_statistical_mean
