level,cohortId,rank,id,nameFr,distanceScore
calculationGroup,dairy,1,produits-laitiers-rice-beverage-unsweetened,"Boisson de riz nature non sucrée, enrichie",1.1038025210084033
calculationGroup,dairy,2,produits-laitiers-whole-milk,"Lait entier homogénéisé 3,25 % M.G.",0.9018253968253969
calculationGroup,dairy,3,produits-laitiers-goat-milk-whole,"Lait de chèvre entier 3,25 % M.G., enrichi",0.843674136321195
calculationGroup,dairy,4,produits-laitiers-soy-beverage-vanilla,"Boisson de soya à la vanille, enrichie",0.7554154995331466
calculationGroup,dairy,5,produits-laitiers-greek-yogurt-fat-free-fruit,Yogourt grec aux fruits sans gras,0.6325816993464052
calculationGroup,fat,1,matieres-grasses-whole-egg,"Œuf de poule entier, cuit dur",0.6161483409238777
calculationGroup,fat,2,noix-graines-ground-chia-seeds,"Graines de chia séchées, moulues ou entières",0.603939492517892
calculationGroup,fat,3,noix-graines-mixed-nuts-dry-roasted-unsalted,"Noix mélangées avec arachides, rôties à sec, sans sel ajouté",0.5006798959011061
calculationGroup,fat,4,noix-graines-hummus,Houmous commercial,0.4292713077423553
calculationGroup,fat,5,matieres-grasses-mozzarella-cheese,"Fromage mozzarella, 25 % M.G.",0.42241054001301226
calculationGroup,fruit,1,fruits-raspberries,"Framboises fraîches, crues",0.7959349593495936
calculationGroup,fruit,2,fruits-blackberries,"Mûres fraîches, crues",0.7822439024390244
calculationGroup,fruit,3,fruits-dried-goji-berries,Baies de goji séchées,0.30232520325203255
calculationGroup,fruit,4,fruits-pineapple-juice-100-pure-no-added-sugar,"Jus d'ananas 100 % pur, sans sucre ajouté",0.2707317073170732
calculationGroup,fruit,5,fruits-strawberries,"Fraises fraîches, crues",0.2605528455284553
calculationGroup,protein,1,noix-graines-cup-soybeans-or-edamame,Edamames bouillis et égouttés,1.6895232646834475
calculationGroup,protein,2,autres-sources-proteinees-performance-protein-bar,Barre protéinée Quest Chocolate Brownie,1.595636918382914
calculationGroup,protein,3,autres-sources-proteinees-fermented-natto,Natto de soya fermenté,1.1477993897787946
calculationGroup,protein,4,autres-sources-proteinees-seitan,Rôti de seitan GUSTA Classico,1.0119221967963388
calculationGroup,protein,5,autres-sources-proteinees-cooked-tempeh,Tempeh cuit,0.9390636918382914
calculationGroup,starch,1,feculents-cooked-legumes,"Pois chiches mûrs, bouillis",1.1657583659278574
calculationGroup,starch,2,feculents-cooked-black-beans,"Haricots noirs mûrs, bouillis",1.1036207859936673
calculationGroup,starch,3,noix-graines-homemade-protein-granola,Granola maison,0.994844477556342
calculationGroup,starch,4,feculents-cooked-beluga-lentils,"Lentilles mûres, bouillies",0.7749208418699944
calculationGroup,starch,5,feculents-rolled-oats-uncooked,Avoine sèche,0.7324765629850376
