id,status,hasVerifyTransaction,verifiedAt,verifiedBy,datasetVersion
noix-graines-almonds,verified,true,2026-07-30T13:45:02.627Z,KR Kinetics,1.0.0
noix-graines-peanuts,verified,true,2026-07-30T17:58:48.042Z,KR Kinetics,1.0.0
noix-graines-peanut-almond-butter,verified,true,2026-07-30T17:58:48.101Z,KR Kinetics,1.0.0
noix-graines-tahini,verified,true,2026-07-30T17:58:48.147Z,KR Kinetics,1.0.0
noix-graines-hemp-seeds,verified,true,2026-07-30T17:58:48.195Z,KR Kinetics,1.0.0
noix-graines-ground-chia-seeds,verified,true,2026-07-30T17:58:48.246Z,KR Kinetics,1.0.0
noix-graines-ground-flax-seeds,verified,true,2026-07-30T17:58:48.293Z,KR Kinetics,1.0.0
noix-graines-roasted-pumpkin-seeds,verified,true,2026-07-30T17:58:48.338Z,KR Kinetics,1.0.0
noix-graines-dehydrated-pine-nuts,verified,true,2026-07-30T17:58:48.384Z,KR Kinetics,1.0.0
noix-graines-sesame-seeds,verified,true,2026-07-30T17:58:48.429Z,KR Kinetics,1.0.0
noix-graines-oil-roasted-sunflower-seeds,verified,true,2026-07-30T17:58:48.478Z,KR Kinetics,1.0.0
noix-graines-hummus,verified,true,2026-07-30T17:58:48.525Z,KR Kinetics,1.0.0
noix-graines-cashews,verified,true,2026-07-30T17:58:48.571Z,KR Kinetics,1.0.0
noix-graines-shredded-coconut,verified,true,2026-07-30T17:58:48.619Z,KR Kinetics,1.0.0
noix-graines-walnuts,verified,true,2026-07-30T17:58:48.664Z,KR Kinetics,1.0.0
noix-graines-brazil-nuts,verified,true,2026-07-30T17:58:48.755Z,KR Kinetics,1.0.0
noix-graines-macadamia-nuts,verified,true,2026-07-30T17:58:48.809Z,KR Kinetics,1.0.0
noix-graines-oil-roasted-pecans,verified,true,2026-07-30T17:58:48.856Z,KR Kinetics,1.0.0
noix-graines-raw-pistachios,verified,true,2026-07-30T17:58:48.902Z,KR Kinetics,1.0.0
noix-graines-cup-soybeans-or-edamame,verified,true,2026-07-30T17:58:48.947Z,KR Kinetics,1.0.0
noix-graines-homemade-protein-granola,verified,true,2026-07-30T17:58:49.001Z,KR Kinetics,1.0.0
noix-graines-natural-cashew-butter,verified,true,2026-07-30T17:58:49.049Z,KR Kinetics,1.0.0
matieres-grasses-avocado,verified,true,2026-07-30T18:25:54.117Z,KR Kinetics,1.0.0
matieres-grasses-square-dark-chocolate-70,verified,true,2026-07-30T18:25:54.163Z,KR Kinetics,1.0.0
matieres-grasses-cheddar-mozzarella-cream-cheese,verified,true,2026-07-30T18:25:54.208Z,KR Kinetics,1.0.0
matieres-grasses-vegetable-oil,verified,true,2026-07-30T18:25:54.252Z,KR Kinetics,1.0.0
